OriginAirportName,OriginAirportID
Tampa International,15304
Pittsburgh International,14122
Seattle/Tacoma International,14747
Norfolk International,13931
Metropolitan Oakland International,13796
Washington Dulles International,12264
Chicago O'Hare International,13930
Los Angeles International,12892
Orlando International,13204
Baltimore/Washington International Thurgood Marshall,10821
Phoenix Sky Harbor International,14107
Charlotte Douglas International,11057
McCarran International,12889
William P Hobby,12191
Denver International,11292
Detroit Metro Wayne County,11433
Eppley Airfield,13871
Sacramento International,14893
Hartsfield-Jackson Atlanta International,10397
Salt Lake City International,14869
Logan International,10721
George Bush Intercontinental/Houston,12266
San Antonio International,14683
San Francisco International,14771
Minneapolis-St Paul International,13487
Kansas City International,13198
Port Columbus International,11066
Cleveland-Hopkins International,11042
Newark Liberty International,11618
Nashville International,10693
Philadelphia International,14100
Bradley International,10529
Ontario International,13891
Dallas Love Field,11259
San Diego International,14679
Luis Munoz Marin International,14843
Portland International,14057
Long Beach Airport,12954
LaGuardia,12953
Indianapolis International,12339
John F. Kennedy International,12478
Dallas/Fort Worth International,11298
Buffalo Niagara International,10792
Miami International,13303
Norman Y. Mineta San Jose International,14831
Chicago Midway International,13232
John Wayne Airport-Orange County,14908
Bob Hope,10800
Louis Armstrong New Orleans International,13495
Richmond International,14524
Fort Lauderdale-Hollywood International,11697
Louisville International-Standiford Field,14730
General Mitchell International,13342
Reno/Tahoe International,14570
Austin - Bergstrom International,10423
Lambert-St. Louis International,15016
Albuquerque International Sunport,10140
Ronald Reagan Washington National,11278
Jacksonville International,12451
Tucson International,15376
Theodore Francis Green State,14307
Ted Stevens Anchorage International,10299
Will Rogers World,13851
Honolulu International,12173
Cincinnati/Northern Kentucky International,11193
Palm Beach International,14027
Raleigh-Durham International,14492
Southwest Florida International,14635
Memphis International,13244
Kahului Airport,13830
